日付け,終値,始値,高値,安値
2022/7/20,"3,959.90","3,935.32","3,974.13","3,922.03"
2022/7/21,"3,998.95","3,955.47","3,999.29","3,927.64"
2022/7/22,"3,961.63","3,998.43","4,012.44","3,938.86"
2022/7/25,"3,966.84","3,965.72","3,975.30","3,943.46"
2022/7/26,"3,921.05","3,953.22","3,953.22","3,910.74"
2022/7/27,"4,023.61","3,951.43","4,039.56","3,951.43"
2022/7/28,"4,072.43","4,026.13","4,078.95","3,992.97"
2022/7/29,"4,130.29","4,087.33","4,140.15","4,079.22"
2022/8/1,"4,118.63","4,112.38","4,144.95","4,096.02"
2022/8/2,"4,091.19","4,104.21","4,140.47","4,079.81"
2022/8/3,"4,155.17","4,107.96","4,167.66","4,107.96"
2022/8/4,"4,151.94","4,154.85","4,161.29","4,135.42"
2022/8/5,"4,145.19","4,115.87","4,151.58","4,107.31"
2022/8/8,"4,140.06","4,155.93","4,186.62","4,128.97"
2022/8/9,"4,122.47","4,133.11","4,137.30","4,112.09"
2022/8/10,"4,210.24","4,181.02","4,211.03","4,177.26"
2022/8/11,"4,207.27","4,227.40","4,257.91","4,201.41"
2022/8/12,"4,280.15","4,225.02","4,280.47","4,219.78"
2022/8/15,"4,297.14","4,269.37","4,301.79","4,256.90"
2022/8/16,"4,305.20","4,290.46","4,325.28","4,277.77"
2022/8/17,"4,274.04","4,280.40","4,302.18","4,253.08"
2022/8/18,"4,283.74","4,273.13","4,292.53","4,261.98"
2022/8/19,"4,228.48","4,266.31","4,266.31","4,218.70"
2022/8/22,"4,137.99","4,195.08","4,195.08","4,129.86"
2022/8/23,"4,128.73","4,133.09","4,159.77","4,124.03"
2022/8/24,"4,140.77","4,126.55","4,156.56","4,119.97"
2022/8/25,"4,199.12","4,153.26","4,200.54","4,147.59"
2022/8/26,"4,057.66","4,198.74","4,203.04","4,057.66"
2022/8/29,"4,030.61","4,034.58","4,062.99","4,017.42"
2022/8/30,"3,986.16","4,041.25","4,044.98","3,965.21"
2022/8/31,"3,955.00","4,000.67","4,015.37","3,954.53"
2022/9/1,"3,966.85","3,936.73","3,970.23","3,903.65"
2022/9/2,"3,924.26","3,994.66","4,018.43","3,906.21"
2022/9/6,"3,908.19","3,930.89","3,942.55","3,886.75"
2022/9/7,"3,979.87","3,909.43","3,987.89","3,906.03"
2022/9/8,"4,006.18","3,959.94","4,010.50","3,944.81"
2022/9/9,"4,067.36","4,022.94","4,076.81","4,022.94"
2022/9/12,"4,110.41","4,083.67","4,119.28","4,083.67"
2022/9/13,"3,932.69","4,037.12","4,037.12","3,921.28"
2022/9/14,"3,946.01","3,940.73","3,961.94","3,912.18"
2022/9/15,"3,901.35","3,932.41","3,959.14","3,888.28"
2022/9/16,"3,873.33","3,880.95","3,880.95","3,837.08"
2022/9/19,"3,899.89","3,849.91","3,900.45","3,838.50"
2022/9/20,"3,855.93","3,875.23","3,876.01","3,827.54"
2022/9/21,"3,789.93","3,871.40","3,907.07","3,789.49"
2022/9/22,"3,757.99","3,782.36","3,790.90","3,749.45"
2022/9/23,"3,693.23","3,727.14","3,727.14","3,647.47"
2022/9/26,"3,655.04","3,682.72","3,715.67","3,644.76"
2022/9/27,"3,647.29","3,686.44","3,717.53","3,623.29"
2022/9/28,"3,719.04","3,651.94","3,736.74","3,640.61"
2022/9/29,"3,640.47","3,687.01","3,687.01","3,610.40"
2022/9/30,"3,585.62","3,633.48","3,671.44","3,584.13"
2022/10/3,"3,678.43","3,609.78","3,698.35","3,604.93"
2022/10/4,"3,790.93","3,726.46","3,791.92","3,726.46"
2022/10/5,"3,783.28","3,753.25","3,806.91","3,722.66"
2022/10/6,"3,744.52","3,771.97","3,797.93","3,739.22"
2022/10/7,"3,639.66","3,706.74","3,706.74","3,620.73"
2022/10/10,"3,612.39","3,647.51","3,652.17","3,588.10"
2022/10/11,"3,588.84","3,595.86","3,640.66","3,568.45"
2022/10/12,"3,577.03","3,590.83","3,608.34","3,573.86"
2022/10/13,"3,669.91","3,520.37","3,685.41","3,491.58"
2022/10/14,"3,583.07","3,690.41","3,712.00","3,579.68"
2022/10/17,"3,677.95","3,638.65","3,689.73","3,638.65"
2022/10/18,"3,719.98","3,746.26","3,762.79","3,686.53"
2022/10/19,"3,695.16","3,703.11","3,728.58","3,666.51"
2022/10/20,"3,665.78","3,689.05","3,736.00","3,656.44"
2022/10/21,"3,752.75","3,657.10","3,757.89","3,647.42"
2022/10/24,"3,797.34","3,762.01","3,810.74","3,741.65"
2022/10/25,"3,859.11","3,799.44","3,862.85","3,799.44"
2022/10/26,"3,830.60","3,825.97","3,886.15","3,824.07"
2022/10/27,"3,807.30","3,834.69","3,859.95","3,803.79"
2022/10/28,"3,901.06","3,808.26","3,905.42","3,808.26"
2022/10/31,"3,871.98","3,881.85","3,893.73","3,863.18"
2022/11/1,"3,856.10","3,901.79","3,911.79","3,843.80"
2022/11/2,"3,759.69","3,852.90","3,894.44","3,758.68"
2022/11/3,"3,719.89","3,733.25","3,750.59","3,698.15"
2022/11/4,"3,770.55","3,766.98","3,796.34","3,708.84"
2022/11/7,"3,806.80","3,780.71","3,813.95","3,764.70"
2022/11/8,"3,828.11","3,817.02","3,859.40","3,786.28"
2022/11/9,"3,748.57","3,810.94","3,818.20","3,744.22"
2022/11/10,"3,956.37","3,859.89","3,958.33","3,859.89"
2022/11/11,"3,992.93","3,963.72","4,001.48","3,944.82"
2022/11/14,"3,957.25","3,977.97","4,008.97","3,956.40"
2022/11/15,"3,991.73","4,006.41","4,028.84","3,953.17"
2022/11/16,"3,958.79","3,976.82","3,983.09","3,954.34"
2022/11/17,"3,946.56","3,919.26","3,954.33","3,906.54"
2022/11/18,"3,965.34","3,966.39","3,979.89","3,935.98"
2022/11/21,"3,949.94","3,956.23","3,962.00","3,933.34"
2022/11/22,"4,003.58","3,965.51","4,005.88","3,956.88"
2022/11/23,"4,027.26","4,000.30","4,033.78","3,998.66"
2022/11/25,"4,026.12","4,023.34","4,034.02","4,020.76"
2022/11/28,"3,963.94","4,005.36","4,012.27","3,955.77"
2022/11/29,"3,957.63","3,964.19","3,976.77","3,937.65"
2022/11/30,"4,080.11","3,957.18","4,080.11","3,938.58"
2022/12/1,"4,076.57","4,087.14","4,100.51","4,050.87"
2022/12/2,"4,071.70","4,040.17","4,080.48","4,026.63"
2022/12/5,"3,998.84","4,052.02","4,052.45","3,984.49"
2022/12/6,"3,941.26","3,996.63","4,001.51","3,918.39"
2022/12/7,"3,933.92","3,933.28","3,957.57","3,922.68"
2022/12/8,"3,963.51","3,947.79","3,974.19","3,935.83"
2022/12/9,"3,934.38","3,954.17","3,977.02","3,933.04"
2022/12/12,"3,990.56","3,939.29","3,990.71","3,935.30"
